abstract,source
"Many pain conditions in patients tend to co-occur, influencing the clinical expressions of each other in various ways. This paper summarizes the main concurrent pain conditions by analyzing the major interactions observed. In particular, co-occurrence will be examined in: visceral pain (especially ischemic heart disease, irritable bowel syndrome, dysmenorrhea/endometriosis and urinary pain), fibromyalgia, musculoskeletal pain and headache. Two concurrent visceral pains from internal organs sharing at least part of their central sensory projection can give rise to viscero-visceral hyperalgesia, i.e., enhancement of typical pain symptoms from both districts. Visceral pain, headache and musculoskeletal pains (myofascial pain from trigger points, joint pain) can enhance pain and hyperalgesia from fibromyalgia. Myofascial pain from trigger points can perpetuate pain symptoms from visceral pain conditions and trigger migraine attacks when located in the referred pain area from an internal organ or in cervico-facial areas, respectively. The pathophysiology of these pain associations is complex and probably multifactorial; among the possible processes underlying the mutual influence of symptoms recorded in the associations is modulation of central sensitization phenomena by nociceptive inputs from one or the other condition. A strong message in these pain syndrome co-occurrence is that effective treatment of one of the conditions can also improve symptoms from the other, thus suggesting a systematic and thorough evaluation of the pain patient for a global effective management of his/her suffering.
KEYWORDS:

Fibromyalgia; Migraine; Myofascial pain syndrome; Pain co-occurrence; Tension-type headache; Visceral pain",PubMed
"The available pharmacological modalities for the treatment of fibromyalgia (FM) are associated with a variety of adverse effects and limited benefits. In this study, we systematically reviewed the impact of melatonin in the treatment of FM. Interventional studies, either controlled or uncontrolled and randomized or non-randomized, were included. PubMed, EMBASE, Scopus, Web of Science, and the Cochrane Library were searched without time limitation. Primary outcome measures were the effect of melatonin on the disease impact, pain, sleep quality, tender point count, fatigue, anxiety, stiffness, and depression in FM patients. Four studies, reporting the effect of melatonin on 98 patients, were eligible to include. All the studies reported the positive effect of melatonin on the FM symptoms. No major adverse event was reported. A significant level of heterogeneity was observed between the studies. Therefore, further high-quality controlled clinical trials are needed to understand the role of melatonin in FM treatment fully.

Copyright ? 2019 Elsevier Ltd. All rights reserved.
KEYWORDS:

Fibromyalgia; Melatonin; Outcome; Treatment",PubMed
"Objective:

The study was designed to develop fibromyalgia assessment screening tool (FAST) indices based only on multidimensional health assessment questionnaire (MDHAQ) scores as clues to fibromyalgia (FM), analyzed for possible agreement with the 2011 FM criteria.
Methods:

All patients with all diagnoses complete an MDHAQ at each visit in routine care. The MDHAQ includes scores for physical function, pain, global assessment, fatigue, self-report painful joint count, and a 60-symptom checklist. MDHAQ items similar or identical to the 2011 FM criteria symptom severity scale (SSS) and widespread pain index (WPI) components of a polysymptomatic distress scale (PSD) were compiled into continuous MDHAQ-FM-SSS, MDHAQ-FM-WPI, and MDHAQ-FM-PSD indices. Ten candidate MDHAQ scores were analyzed against the 2011 FM criteria using descriptive statistics, Spearman correlations, kappa statistics, and receiver operating characteristic curves for the area under the curve (AUC). MDHAQ candidate variables with the highest AUC were compiled into cumulative MDHAQ-FAST indices of three (FAST3) or four (FAST4) scores.
Results:

The highest AUCs among MDHAQ scores were seen for symptom checklist, painful joint count, fatigue, and pain, which are included in FAST4; FAST3-F excludes pain, and FAST3-P excludes fatigue. AUCs for FAST3-P, FAST3-F, and FAST4, as well as continuous MDHAQ-FM scores, all were greater than 0.92, indicating excellent criterion validity. Kappa statistics versus the 2011 criteria were 0.63-0.68, higher than 0.41-0.47 versus physician ICD-10 diagnoses.
Conclusion:

Pragmatic FAST3, FAST4, and MDHAQ-FM indices are similar to FM criteria to screen for FM in routine care. It is more feasible to collect the same MDHAQ, which is informative in all rheumatic diseases studied, from each patient than to ask different patients with different diagnoses to complete different questionnaires.",PubMed
"Background:

Recently, some studies suggested that clinical diagnosis of fibromyalgia is inaccurate and does not reflect current definitions. However, this hypothesis has not been tested. We examined whether fibromyalgia was accurately diagnosed in the community.
Methods:

We surveyed 3276 primary care patients to determine current fibromyalgia status by criteria (CritFM). We also determined whether the patients had a physician's diagnosis of fibromyalgia (MDFM) and the level of symptom severity as measured by the polysymptomatic distress scale (PSD).
Results:

The prevalence of MDFM and CritFM was 6.1% (95% confidence interval [CI] 5.3%, 6.9%) and 5.5% (95% CI 4.8%, 6.3%), respectively. However, only 32.2% with MDFM met 2016 criteria (CritFM), and only 35.4% with CritFM also had MDFM. The kappa statistic for diagnostic agreement was 0.296 (minimal agreement). The mean PSD score was 12.4 and 18.4 in MDFM and CritFM, respectively. The odds ratio for being a woman compared with being a man was 3.2 for MDFM versus 1.9 for CritFM, P = 0.023. Of the patients with MDFM, 68.3% received specific fibromyalgia pharmacotherapy.
Conclusions:

There is little agreement between MDFM and CritFM. Only one-third of MDFM satisfy fibromyalgia criteria, and only one-third of patients who meet the criteria have a clinical diagnosis of fibromyalgia. Physician diagnosis is biased and more likely in women. Fibromyalgia treatment is common in MDFM (70.7%). Overall, MDFM appears subjective and unrelated to fibromyalgia criteria. There appears to be no common definition of fibromyalgia in the community.",PubMed
"AIM:

Previous studies suggest higher mindfulness may be associated with better sleep quality in people with chronic pain conditions. However, the relationship between mindfulness and sleep in fibromyalgia patients, who commonly suffer from sleep problems, remains unstudied. We examined the relationship between mindfulness and sleep, and how this relationship may be mediated by depression, anxiety, and pain interference in fibromyalgia patients.
METHOD:

We performed a cross-sectional analysis of baseline data from a randomized trial in fibromyalgia patients. We measured mindfulness (Five Facet Mindfulness Questionnaire), sleep quality and disturbance (Pittsburgh Sleep Quality Index [PSQI], PROMIS Sleep Disturbance [PROMIS-SD]), pain interference (PROMIS Pain Interference), and anxiety and depression (Hospital Anxiety and Depression Scale). Pearson correlations were used to examine associations among mindfulness and sleep quality and disturbance. Mediation analysis was conducted to assess whether pain interference, depression, and anxiety mediated the relationship between mindfulness and sleep.
RESULTS:

A total of 177 patents with fibromyalgia were included (93% female; mean age 52 ñ 12 years; body mass index 30 ñ 7 kg/m2 ; 59% White). Higher mindfulness was associated with better sleep quality and less sleep disturbance (PSQI r = -0.23, P = .002; PROMIS-SD r = -.24, P = .002) as well as less pain interference (r = -.31, P < .0001), anxiety (r = -.58, P < .001), and depression (r = -0.54, P < .0001). Pain interference, depression, and anxiety mediated the association between mindfulness and sleep quality and disturbance.
CONCLUSION:

Higher mindfulness is associated with better sleep in patients with fibromyalgia, with pain interference, depression, and anxiety mediating this relationship. Longitudinal studies are warranted to examine the potential effect of cultivating mindfulness on sleep in fibromyalgia.

? 2019 Asia Pacific League of Associations for Rheumatology and John Wiley & Sons Australia, Ltd.
KEYWORDS:

anxiety; chronic pain; depression; fibromyalgia; mediation; sleep",PubMed
"BACKGROUND:

Fibromyalgia syndrome (FMS) is a disorder with a population prevalence of 1% to 5%. There are insufficient data in the literature on the incidence of FMS in patients with axial spondyloarthritis (SpA), with only a limited number of studies conducted.
OBJECTIVES:

The aim of this study was to determine the presence of FMS in patients diagnosed with axial SpA and to investigate the effect of this coexistence on clinical and laboratory assessments in patients with ankylosing spondylitis.
STUDY DESIGN:

This research involved a retrospective analysis of prospectively collected data.
SETTING:

The research took place in an outpatient rheumatology clinic.
METHODS:

This study included 125 patients diagnosed with axial SpA according to the Assessment of Spondyloarthritis International Society criteria. The presence of FMS was investigated according to the 2010 American College of Rheumatology criteria. Pain during activity, resting, and at night was examined using the Visual Analog Scale. Ankylosing Spondylitis Disease Activity Scores were used for assessment of disease activity, Ankylosing Spondylitis Quality of Life Scale was used for quality of life, Bath Ankylosing Spondylitis Functional Index was used for functionality, and Pittsburgh Sleep Quality Index was used for sleep quality.
RESULTS:

Incidence of FMS was 29.6% in the study population, which consisted of patients who were all diagnosed with axial SpA. Comparison of patient groups with and without FMS revealed no statistically significant differences in age, weight, body mass index, marital status, family history, and smoking history (P > .05), with a higher rate of female patients in the group with FMS at 55% (P < .05). Ankylosing Spondylitis Disease Activity Score-C-Reaktif Protein, Ankylosing Spondylitis Disease Activity Score-Erythyrocyte Sedimentation Rate, Ankylosing Spondylitis Quality of Life Scale, Bath Ankylosing Spondylitis Functional Index, Pittsburgh Sleep Quality Index, and Visual Analog Scale pain scores were significantly higher in the group with FMS (P < .05).
LIMITATION:

The study involved a limited number of patients.
CONCLUSIONS:

FMS is observed in one-third of patients with axial SpA. The presence of FMS negatively affects quality of life, functional status, sleep quality, disease activity, and pain level of patients with ankylosing spondylitis. The possibility for coexistence of FMS should be kept in mind when determining the treatment protocols for patients with axial spondyloarthritis, and adjunctive treatment should be given if necessary.
KEY WORDS:

Disease activity, fibromyalgia, quality of life, spondyloarthritis, sleep quality.",PubMed
"The aim of our study was to understand how male partners of women diagnosed with fibromyalgia syndrome perceive sexuality. Gadamerian hermeneutic phenomenology and the Roy Adaptation Model provided the overall framework for this research study. Eighteen participants were recruited through convenience and purposive sampling. Data collection was conducted between February and July of 2017 and included a focus group and twelve in-depth interviews. Two main themes were extracted: ""facing a new sex life"" and ""resisting the loss of the couple's sexuality"". Fibromyalgia syndrome compromises the couple's sex life. Enhancing intimacy, skin-to-skin contact (during acute FMS outbreaks), finding new positions, non-coital sex and use of sex toys can increase female desire and help coping.",PubMed
"BACKGROUND:

The main somatic symptoms of fibromyalgia syndrome (FMS) are chronic musculoskeletal pain, stiffness, and fatigue, all of which are related to the muscle system and its functioning.
AIMS:

The aim of this study was to evaluate whether the asymptomatic upper and lower extremity muscles evaluated using ultrasonography (US) were different from healthy controls in both newly diagnosed and established FMS and to assess whether muscle measurements were related to fatigue and disease severity, as well as quality of life.
METHODS:

This study was conducted on 152 subjects (102 patients and 50 healthy controls) as a cross-sectional controlled trial. Real-time imaging of cross-sectional thickness (CST) (for deltoid, biceps brachii, triceps brachii, forearm flexor, tibialis anterior, and gastrocnemius medialis), and cross-sectional areas (CSAs) (quadriceps femoris (QF)) measurements were performed using US. Fatigue and disease severity as well as quality of life scales were given to all participants.
RESULTS:

In both patient groups, decreased QF muscle CSA was significantly correlated with increased fatigue severity and decreased overall quality of life and energy levels. Moreover, in patients with established disease, there was a significant correlation between the decrease in QF muscle CSA and increased social isolation and between the decrease in biceps brachii muscle CST and increased fatigue severity.
CONCLUSIONS:

Whether in newly diagnosed or established disease, muscle measurement values and quality of life parameters were significantly decreased in patients with FMS compared with healthy controls.
KEYWORDS:

Fatigue; Fibromyalgia syndrome; Quadriceps femoris; Quality of life; Ultrasound",PubMed
"PURPOSE OF REVIEW:

Small fiber neuropathy (SFN) could cause significant morbidity due to neuropathic pain and autonomic dysfunction. SFN is underdiagnosed and the knowledge on the condition is limited among general public and health care professionals. This review is intended to enhance the understanding of SFN symptoms, causes, diagnostic tools, and therapeutic options.
RECENT FINDINGS:

There is evidence of SFN in up to 40% patients with fibromyalgia. The causes of SFN are glucose metabolism defect, dysimmune, gluten sensitivity and celiac disease, monoclonal gammopathy, vitamin deficiencies, toxic agents, cancer, and unknown etiology. Auto-antibodies targeting neuronal antigens trisulfated heparin disaccharide (TS-HDS) and fibroblast growth factor 3 (FGFR3) are found in up to 20% of patients with SFN. Treatment of SFN includes treating the etiology and managing symptoms. SFN should be considered in patients with wide-spread body pain. The search for known causes of SFN is a crucial step in disease management.
KEYWORDS:

Amyloidosis; Autonomic neuropathy; FGFR3; Fibromyalgia; Small fiber neuropathy; TS-HDS",PubMed
"The fibromyalgia syndrome (FM) is a chronic widespread pain condition whose etiology remains unknown and no treatment has satisfactory levels of success. A meta-analysis has identified a distinct Minnesota Multiphasic Personality Inventory-2 (MMPI-2) clinical profile between FM female patients and healthy controls, and differences between FM and other chronic pain condition with clear etiology have also been found. However, heterogeneity in this population has been suggested in several studies. We aim to assess clinical aspects in FM patients, based on personality psychopathology characteristics, in order to explore heterogeneity and the existence of core common aspects. In this cross-sectional study, a relatively homogeneous sample of 56 female FM patients (Mage = 45.95, SDage = 9.39) was assessed through MMPI-2. A K-Means cluster analysis identified two clusters, one (n = 24) with clinically significant levels in Negative Emotionality and Introversion scales. Subsequent MANOVAs identified important features of this cluster on several MMPI-2 dimensions. Moreover, several dimensions are clinically elevated in both clusters. In conclusion, the combination of psychopathological negative emotionality, interpersonal isolation, and low hedonic capacity, in a group of patients, has implications for the daily living and treatment of FM patients, and several core aspects of FM need to be addressed.",PubMed
